"","Temp_mean","STA","DHM","Rainfall","DHW","Hurricane","Octocoral","Scleractinian","Macroalgae","CTB"
"1990",27.4214246575342,-0.34109356645515,0.206842000000002,106.4,0,0,29,33.1034482758621,29.3448275862069,19.7758620689655
"1991",27.3249859943978,-0.437532229591636,0.00746466666666687,86,0,0,40,30.7666666666667,6.6,40.5166666666667
"1992",27.4854098360656,-0.277108387923821,0.0874580000000008,122.6,0,0,27,31.435,3.79,45.715
"1993",27.5643835616438,-0.198134662345559,0,111.6,0,0,25,31.8066666666667,9.62333333333333,40.7433333333333
"1994",27.3959726027397,-0.366545621249671,0,68.1,0,0,30,35.74,17.2333333333333,25.4233333333333
"1995",27.8069662921348,0.0444480681454351,0.109845333333335,102.4,0,3,24,29.7433333333333,13.0333333333333,33.6833333333333
"1996",27.342349726776,-0.420168497213439,0,116.3,0,1,12,20.9533333333333,24.6666666666667,33.4466666666667
"1997",27.808127090301,0.045608866311607,0.0469900000000005,92.5,0,0,16,23.5,52.3666666666667,21.5
"1998",28.1709863013699,0.408468077380466,0.901411333333337,123.5,0,2,15,20.2133333333333,25.9,27.25
"1999",27.9946849315068,0.232166707517454,1.085078,124.2,0.307994285714286,2,19,11.87,38.0066666666667,23.2766666666667
"2000",27.4825484764543,-0.279969747535102,0.0473873333333343,100.2,0,0,14,11.9333333333333,36.8133333333333,18.9433333333333
"2001",27.7259178082192,-0.0366004157702164,0.130919333333334,128,0,0,26,11.6133333333333,25.4466666666667,43.28
"2002",27.6913424657534,-0.0711757582359702,0.0254580000000004,94.5,0,0,29,12.79,39.4033333333333,34.3466666666667
"2003",27.986270718232,0.22375249424265,0.85841466666667,137.7,0,0,21,12.2966666666667,23.88,28.06
"2004",27.7518333333333,-0.0106848906560622,0.275636666666669,120.9,0,0,15,11.6766666666667,20.5866666666667,14.3666666666667
"2005",28.2139554317549,0.45143720776548,2.29584933333334,111.3,5.12277142857143,0,30,13.8033333333333,28.1866666666667,39.3
"2006",28.0300831024931,0.267564878503677,0.720495333333336,114.2,0,0,39,8.88333333333333,47.32,29.9366666666667
"2007",28.029943977591,0.267425753601639,0.415899333333336,130.7,0,0,40,6.69333333333333,26.4666666666667,55.1033333333333
"2008",27.4743055555556,-0.28821266843384,0.159044000000002,141,0,0,52,8.14,27.0933333333333,52.7533333333333
"2009",27.650138121547,-0.112380102442433,0.212441333333335,107.4,0,0,62,7.87666666666667,40.3933333333333,36.3633333333333
"2010",28.3392797783934,0.576761554403955,0.994677333333337,186,0.608845714285715,1,78,8.4,46.6533333333333,26.8433333333333
"2011",27.7270083102493,-0.0355099137400892,0.201508666666668,140.4,0,0,66,6.74333333333333,37.7866666666667,44.24
"2012",27.8583379501385,0.0958197261491094,0.68942466666667,91,0,0,63,7.12666666666667,42.8433333333333,43.6566666666667
"2013",27.8004444444444,0.0379262204550486,0.662502000000002,141.7,0.143997142857143,0,77,5.63333333333333,32.8766666666667,53.0166666666667
"2014",27.8845152354571,0.121997011467666,0.524963333333336,127.5,0,0,NA,NA,NA,NA
"2015",28.0706703910615,0.308152167072056,1.02869066666667,96.9,0.146854285714286,0,NA,NA,NA,NA
"2016",28.2574238227147,0.494905598725286,1.071536,117,0,0,NA,NA,NA,NA
"2017",27.9625,0.199981776010603,0.277380666666668,194,0.339422857142858,10,NA,5.66666666666667,47.5416666666667,32.9283333333333
