site;quadrat;year;percentCover_all;percentCover_macroalgae;percentCover_CTB;Orbicella;Montastrea_cavernosa;Agaricia;Colpophyllia;Dendrogyra;Dichocoenia;Diploria;Eusmilia;Favia;Madracis;Meandrina;Mussa;Porites;Stephanocoenia;Siderastrea;Manicina;Mycetopohyllia;Acropora;Isophyllia;Scolymia;Millepora
East Tektite;12;1992;0.00;16.70;8.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;999
East Tektite;13;1992;0.00;9.70;80.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;999
East Tektite;14;1992;7.50;21.80;41.60;5.50;0.00;0.00;0.00;0.00;2.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;999
East Tektite;15;1992;2.50;20.80;38.50;0.00;0.00;2.00;0.00;0.00;0.00;0.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;999
East Tektite;16;1992;37.50;5.10;30.60;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;36.50;0.00;0.00;0.00;0.00;0.00;999
East Tektite;17;1992;1.60;24.40;45.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;999
Europa Bay;1;1992;0.00;3.20;53.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;999
Europa Bay;2;1992;0.00;0.00;54.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;999
Europa Bay;3;1992;2.10;0.00;29.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.10;0.00;0.00;0.00;0.00;0.00;999
Europa Bay;4;1992;0.00;2.60;50.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;999
Europa Bay;5;1992;3.00;0.00;52.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;999
Europa Bay;6;1992;21.00;0.00;34.20;0.00;0.00;0.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;19.50;0.00;0.00;0.00;0.00;0.00;999
Europa Bay;7;1992;25.00;1.00;28.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;25.00;0.00;0.00;0.00;0.00;0.00;999
Europa Bay;8;1992;2.10;0.00;60.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.10;0.00;0.00;0.00;0.00;0.00;999
Europa Bay;9;1992;0.50;0.50;52.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.50;0.00;0.00;0.00;0.00;0.00;999
Europa Bay;10;1992;0.00;1.50;54.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;999
Europa Bay;11;1992;0.00;0.00;54.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;999
Europa Bay;12;1992;0.00;0.50;52.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;999
Europa Bay;13;1992;0.00;0.00;51.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;999
Europa Bay;14;1992;0.00;0.00;67.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;999
Europa Bay;15;1992;12.40;0.00;36.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.50;0.00;0.00;0.00;11.90;0.00;0.00;0.00;0.00;0.00;999
Europa Bay;16;1992;2.00;1.50;55.40;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;999
Europa Bay;17;1992;0.00;0.00;68.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;999
Neptunes Table;1;1992;2.00;33.50;11.70;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;999
Neptunes Table;2;1992;4.10;30.80;4.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;999
Neptunes Table;3;1992;13.10;14.30;26.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;999
Neptunes Table;4;1992;0.00;3.20;22.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;999
Neptunes Table;5;1992;0.00;1.60;7.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;999
Neptunes Table;6;1992;0.00;9.70;31.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;999
Neptunes Table;7;1992;9.90;5.20;44.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;9.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;999
Neptunes Table;8;1992;0.00;24.60;42.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;999
Neptunes Table;9;1992;0.00;26.60;27.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;999
Neptunes Table;10;1992;0.00;36.00;36.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;999
Neptunes Table;11;1992;0.00;13.80;41.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;999
Neptunes Table;12;1992;0.00;41.00;23.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;999
Neptunes Table;13;1992;0.00;17.30;72.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;999
Neptunes Table;14;1992;0.00;20.30;38.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;999
Neptunes Table;15;1992;22.30;9.50;29.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;22.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;999
