Site,Year,Total,Siderastreidae,Faviidae,Agaricidae,Poritidae,Acroporidae,Other,Astrangia
West Little Lameshur,2016,0,0,0,0,0,0,0,0
West Little Lameshur,2016,1,0,0,0,1,0,0,0
West Little Lameshur,2016,1,0,0,0,1,0,0,0
West Little Lameshur,2016,1,1,0,0,0,0,0,0
West Little Lameshur,2016,0,0,0,0,0,0,0,0
West Little Lameshur,2016,3,2,0,0,1,0,0,0
West Little Lameshur,2016,1,0,0,0,1,0,0,0
West Little Lameshur,2016,0,0,0,0,0,0,0,0
West Little Lameshur,2016,1,0,0,0,1,0,0,0
West Little Lameshur,2016,0,0,0,0,0,0,0,0
West Little Lameshur,2016,0,0,0,0,0,0,0,0
West Little Lameshur,2016,0,0,0,0,0,0,0,0
West Little Lameshur,2016,2,0,0,0,1,0,1,0
White Point,2016,1,0,0,0,1,0,0,0
White Point,2016,1,0,0,1,0,0,0,0
White Point,2016,2,1,0,0,1,0,0,0
White Point,2016,3,0,0,1,2,0,0,0
White Point,2016,2,0,0,0,2,0,0,0
White Point,2016,3,0,0,0,3,0,0,0
White Point,2016,0,0,0,0,0,0,0,0
White Point,2016,4,1,1,1,1,0,0,0
White Point,2016,2,1,0,0,1,0,0,0
White Point,2016,2,0,1,0,1,0,0,0
White Point,2016,2,0,0,0,2,0,0,0
White Point,2016,5,0,1,0,3,0,1,0
White Point,2016,8,2,1,3,0,1,1,0
White Point,2016,1,0,0,0,0,0,1,0
White Point,2016,4,0,0,2,1,0,1,0
Yawzi Point,2016,3,2,0,0,1,0,0,0
Yawzi Point,2016,2,2,0,0,0,0,0,0
Yawzi Point,2016,2,1,0,0,1,0,0,0
Yawzi Point,2016,1,0,0,0,1,0,0,0
Yawzi Point,2016,3,0,0,0,3,0,0,0
Yawzi Point,2016,2,0,1,0,0,0,1,0
Yawzi Point,2016,5,3,0,0,1,0,1,0
Yawzi Point,2016,4,2,0,0,1,0,1,0
Yawzi Point,2016,11,6,1,1,1,0,1,1
Yawzi Point,2016,1,0,0,0,0,0,1,0
Yawzi Point,2016,3,0,0,0,2,0,1,0
Yawzi Point,2016,9,5,2,0,1,0,1,0
Yawzi Point,2016,5,0,1,0,2,0,2,0
Yawzi Point,2016,5,2,0,1,0,0,2,0
Yawzi Point,2016,11,4,0,1,2,0,4,0
Cabritte,2017,1,1,0,0,0,0,0,0
Cabritte,2017,0,0,0,0,0,0,0,0
Cabritte,2017,2,0,1,1,0,0,0,0
Cabritte,2017,0,0,0,0,0,0,0,0
Cabritte,2017,1,0,0,0,1,0,0,0
Cabritte,2017,4,0,0,3,1,0,0,0
Cabritte,2017,2,0,0,0,2,0,0,0
Cabritte,2017,2,1,0,0,1,0,0,0
Cabritte,2017,0,0,0,0,0,0,0,0
Cabritte,2017,1,0,0,0,0,0,1,0
Cabritte,2017,2,0,0,1,0,0,1,0
Cabritte,2017,4,0,0,1,3,0,0,0
Cabritte,2017,2,0,0,2,0,0,0,0
Cabritte,2017,2,1,0,1,0,0,0,0
Cabritte,2017,5,0,0,1,0,0,1,3
Tektite,2017,3,0,0,2,1,0,0,0
Tektite,2017,1,0,0,0,0,0,1,0
Tektite,2017,7,6,0,1,0,0,0,0
Tektite,2017,3,2,0,1,0,0,0,0
Tektite,2017,1,1,0,0,0,0,0,0
Tektite,2017,3,2,0,0,0,0,1,0
Tektite,2017,1,0,0,0,1,0,0,0
Tektite,2017,5,1,0,0,3,0,1,0
Tektite,2017,1,1,0,0,0,0,0,0
Tektite,2017,4,1,1,0,0,0,2,0
Tektite,2017,6,2,0,1,2,0,1,0
Tektite,2017,1,0,0,0,0,0,1,0
Tektite,2017,1,0,0,0,1,0,0,0
Tektite,2017,1,0,0,0,0,0,1,0
Tektite,2017,9,3,0,0,4,0,2,0
West Little Lameshur,2017,2,1,0,0,1,0,0,0
West Little Lameshur,2017,1,0,0,1,0,0,0,0
West Little Lameshur,2017,1,0,0,1,0,0,0,0
West Little Lameshur,2017,0,0,0,0,0,0,0,0
West Little Lameshur,2017,0,0,0,0,0,0,0,0
West Little Lameshur,2017,1,0,0,1,0,0,0,0
West Little Lameshur,2017,1,1,0,0,0,0,0,0
West Little Lameshur,2017,0,0,0,0,0,0,0,0
West Little Lameshur,2017,0,0,0,0,0,0,0,0
West Little Lameshur,2017,6,3,0,0,1,0,2,0
West Little Lameshur,2017,1,0,1,0,0,0,0,0
West Little Lameshur,2017,1,1,0,0,0,0,0,0
West Little Lameshur,2017,1,0,0,1,0,0,0,0
West Little Lameshur,2017,1,1,0,0,0,0,0,0
West Little Lameshur,2017,1,0,0,0,0,0,0,1
White Point,2017,8,2,0,3,1,0,2,0
White Point,2017,2,1,0,0,0,0,1,0
White Point,2017,3,0,0,1,0,0,2,0
White Point,2017,0,0,0,0,0,0,0,0
White Point,2017,2,2,0,0,0,0,0,0
White Point,2017,0,0,0,0,0,0,0,0
White Point,2017,0,0,0,0,0,0,0,0
White Point,2017,0,0,0,0,0,0,0,0
White Point,2017,0,0,0,0,0,0,0,0
White Point,2017,4,2,0,1,1,0,0,0
White Point,2017,0,0,0,0,0,0,0,0
White Point,2017,0,0,0,0,0,0,0,0
White Point,2017,0,0,0,0,0,0,0,0
White Point,2017,0,0,0,0,0,0,0,0
White Point,2017,4,0,0,1,2,0,0,1
Yawzi Point,2017,8,3,0,2,2,0,1,0
Yawzi Point,2017,9,3,0,3,2,0,1,0
Yawzi Point,2017,1,0,0,0,1,0,0,0
Yawzi Point,2017,1,1,0,0,0,0,0,0
Yawzi Point,2017,3,1,0,0,2,0,0,0
Yawzi Point,2017,2,2,0,0,0,0,0,0
Yawzi Point,2017,2,1,0,0,1,0,0,0
Yawzi Point,2017,2,0,0,1,1,0,0,0
Yawzi Point,2017,5,2,0,2,1,0,0,0
Yawzi Point,2017,0,0,0,0,0,0,0,0
Yawzi Point,2017,0,0,0,0,0,0,0,0
Yawzi Point,2017,3,0,0,0,3,0,0,0
Yawzi Point,2017,1,0,0,0,0,0,1,0
Yawzi Point,2017,2,0,0,2,0,0,0,0
Yawzi Point,2017,4,1,0,0,1,0,2,0
Cabritte,2018,1,0,0,0,1,0,0,0
Cabritte,2018,0,0,0,0,0,0,0,0
Cabritte,2018,0,0,0,0,0,0,0,0
Cabritte,2018,0,0,0,0,0,0,0,0
Cabritte,2018,0,0,0,0,0,0,0,0
Cabritte,2018,1,1,0,0,0,0,0,0
Cabritte,2018,0,0,0,0,0,0,0,0
Cabritte,2018,4,0,0,0,4,0,0,0
Cabritte,2018,3,0,0,0,2,0,1,0
Cabritte,2018,2,1,0,0,1,0,0,0
Cabritte,2018,5,1,0,2,2,0,0,0
Cabritte,2018,0,0,0,0,0,0,0,0
Cabritte,2018,5,0,0,2,1,0,2,0
Cabritte,2018,5,0,0,2,2,0,1,0
Tektite,2018,3,1,0,0,2,0,0,0
Tektite,2018,4,1,0,0,1,0,2,0
Tektite,2018,2,0,1,0,1,0,0,0
Tektite,2018,5,1,0,0,4,0,0,0
Tektite,2018,2,0,0,0,2,0,0,0
Tektite,2018,1,0,0,0,1,0,0,0
Tektite,2018,1,0,0,0,0,0,1,0
Tektite,2018,2,0,0,0,0,0,0,2
West Little Lameshur,2018,4,2,0,0,2,0,0,0
West Little Lameshur,2018,1,1,0,0,0,0,0,0
West Little Lameshur,2018,0,0,0,0,0,0,0,0
West Little Lameshur,2018,1,0,0,0,1,0,0,0
West Little Lameshur,2018,6,2,0,3,1,0,0,0
West Little Lameshur,2018,0,0,0,0,0,0,0,0
White Point,2018,2,1,0,0,1,0,0,0
White Point,2018,1,0,0,0,1,0,0,0
White Point,2018,7,0,0,0,2,0,5,0
White Point,2018,0,0,0,0,0,0,0,0
White Point,2018,4,1,1,0,2,0,0,0
White Point,2018,11,0,0,3,7,1,0,0
White Point,2018,5,1,1,1,2,0,0,0
White Point,2018,1,0,0,0,0,0,1,0
White Point,2018,2,1,0,0,1,0,0,0
White Point,2018,7,3,1,1,2,0,0,0
White Point,2018,2,1,0,0,0,0,0,1
White Point,2018,3,0,0,0,0,0,2,1
Yawzi Point,2018,9,1,0,1,6,0,1,0
Yawzi Point,2018,9,1,0,0,6,0,2,0
Yawzi Point,2018,10,0,2,1,5,0,2,0
Yawzi Point,2018,3,2,0,1,0,0,0,0
Yawzi Point,2018,9,4,1,1,3,0,0,0
Yawzi Point,2018,4,1,0,1,2,0,0,0
Yawzi Point,2018,8,2,0,1,3,0,2,0
Yawzi Point,2018,3,0,0,0,2,0,1,0
Yawzi Point,2018,5,0,0,0,4,0,1,0
Yawzi Point,2018,7,2,0,1,4,0,0,0
Yawzi Point,2018,2,2,0,0,0,0,0,0
Yawzi Point,2018,7,5,0,0,1,0,1,0
Yawzi Point,2018,2,1,0,0,1,0,0,0
Yawzi Point,2018,0,0,0,0,0,0,0,0
Yawzi Point,2018,1,0,0,0,0,0,0,1
